pmcid,first_author,title,year,type,sentence,question,answer,abstract_hash
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"In this sense, the Coronary Sinus Reducer System (CSRS) stands as the last line of therapy for ineligible patients for revascularization with reversible ischemia.",What does the Coronary Sinus Reducer System (CSRS) stand as for ineligible patients for revascularization with reversible ischemia? (pmcid=10982321),The Coronary Sinus Reducer System (CSRS) stands as the last line of therapy for ineligible patients for revascularization with reversible ischemia.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,The purpose of this report is to evaluate the potential burden on the National Health Service (NHS) and measure the health effects in terms of both quantity (life years) and quality-of-life aspects related to the reducer.,What is the purpose of the report (pmcid=10982321)?,The purpose of the report is to evaluate the potential burden on the National Health Service (NHS) and measure the health effects in terms of both quantity (life years) and quality-of-life aspects related to the reducer device.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,Methods: Two different economic evaluation models were developed as part of the analysis.,What type of economic evaluation models were developed as part of the analysis (pmcid=10982321)?,Two different economic evaluation models were developed as part of the analysis.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,The budget impact was developed to estimate the potential burden on the NHS from incremental uptake of the use of the reducer in the target population.,What was the purpose of developing the budget impact model in the study (pmcid=10982321)?,The purpose of developing the budget impact model in the study was to estimate the potential burden on the NHS from incremental uptake of the use of the reducer device in patients with refractory angina.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"The utility cost analysis compares and evaluates the quality of life and health resource use and costs between the two alternatives, based on the research of Gallone et al.",What research was the utility cost analysis based on (pmcid=10982321)?,The utility cost analysis was based on the research of Gallone et al.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,A deterministic and probabilistic sensitivity analysis was carried out to characterize the uncertainty around the parameters of the model.,Was a sensitivity analysis carried out to characterize the uncertainty around the parameters of the model (pmcid=10982321)?,Yes.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"Results: In the budget impact analysis (BIA), the reducer is shown to be more expensive in the first 2 years of the model, due to the gradual uptake in the market and the cost of the device.",What is shown to be more expensive in the first 2 years of the model in the budget impact analysis? (pmcid=10982321),The reducer device is shown to be more expensive in the first 2 years of the model in the budget impact analysis.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"Starting from the third year, assuming maintenance of effectiveness, there are savings in terms of resource absorption in direct healthcare costs arising from hospitalizations, emergency department accesses, coronarography, and visits avoided.",What type of costs are saved in terms of resource absorption in direct healthcare costs starting from the third year (pmcid=10982321)?,"Hospitalizations, emergency department accesses, coronarography, and visits",
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"Conclusion: The BIA and cost-effectiveness model show that the reducer device, despite an increase in resources absorbed in the first years of implementation and use, has the potential to result in increased quality of life in patients with RA.",What do the budget impact model and cost-effectiveness model show about the reducer device in patients with refractory angina (pmcid=10982321)?,The budget impact model and cost-effectiveness model show that the reducer device has the potential to result in increased quality of life in patients with refractory angina.,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,These costs are largely offset in the short term by the improved clinical outcomes achievable leading to savings from the third year onward in the BIA and a dominance ratio in the cost–utility analysis.,What are the cost savings achieved in the budget impact model for the reducer device in patients with refractory angina (pmcid=10982321)?,"The cost savings achieved in the budget impact model for the reducer device in patients with refractory angina are largely offset in the short term by the improved clinical outcomes achievable, leading to savings from the third year onward.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,- Background: Recent developments improved outcomes in patients with autoimmune diseases.,What recent developments improved outcomes in patients with autoimmune diseases? (pmcid=10169960),Recent developments improved outcomes in patients with autoimmune diseases.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"Biologics were approved as first-line treatment in selected naïve patients with plaque psoriasis (PsO), psoriatic arthritis (PsA), ankylosing spondylitis (AS) and non-radiographic axial spondyloarthritis (nr-axSpA).",What were biologics approved as first-line treatment for in selected naïve patients? (pmcid=10169960),"Biologics were approved as first-line treatment for plaque psoriasis (PsO), psoriatic arthritis (PsA), ankylosing spondylitis (AS), and non-radiographic axial spondyloarthritis (nr-axSpA) in selected naïve patients.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"Among them, secukinumab was most recently approved for treatment of active nr-axSpA in adults.",What was secukinumab most recently approved for the treatment of in adults (pmcid=10169960)?,Secukinumab was most recently approved for the treatment of active non-radiographic axial spondyloarthritis (nr-axSpA) in adults.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"In this work, we assessed the budget impact of new secukinumab treatment options in the Italian market.",What did the work assess in the Italian market (pmcid=10169960)?,The work assessed the budget impact of new secukinumab treatment options in the Italian market.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,Methods: A cross-indication budget impact model was designed to estimate the effects of adding secukinumab in the Italian market from the National Health System perspective over a 3-year period.,What was the perspective of the budget impact model analysis (pmcid=10169960)?,The perspective of the budget impact model analysis in pmcid 10169960 was from the National Health System perspective.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"The model included all adults with PsO, PsA, AS and nr-axSpA, treated with biologics or biosimilars.",Who were included in the model for the budget impact analysis (pmcid=10169960)?,"All adults with Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, and Non-radiographic Axial Spondyloarthritis, treated with biologics or biosimilars.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"It compared costs between two scenarios, secukinumab availability or absence, for the four diseases combined and taken individually.",What costs were compared in the study for the four diseases combined and taken individually (pmcid=10169960)?,"The study compared costs between two scenarios, secukinumab availability or absence, for the four diseases combined and taken individually.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,A sensitivity analyses was conducted.,Was a sensitivity analysis conducted (pmcid=10169960)?,Yes.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"Results: There were 68,121 adult patients treated with biologics in 2021 and 68,341 in 2023.",How many adult patients were treated with biologics in 2021 and 2023? (pmcid=10169960),"68,121 adult patients were treated with biologics in 2021 and 68,341 in 2023.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,The budget impact analysis (BIA) on all indications showed a cost reduction of €33.7 million (− 1.5%) over 3 years with the introduction of secukinumab.,What cost reduction was observed over 3 years with the introduction of secukinumab in the budget impact analysis (pmcid=10169960)?,€33.7 million,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"PsA patients had the highest saving (− €34.9 million), followed by PsO patients (− €7.8 million).",How much savings did PsA patients have in the study conducted by Cortesi PA? (pmcid=10169960),PsA patients had a savings of €34.9 million in the study conducted by Cortesi PA.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,Cost saving in PsO patients was balanced by increased budget reported in AS patients (+ €8.0 million).,How was the budget impact of Secukinumab in Italy distributed among Psoriasis and Ankylosing Spondylitis patients (pmcid=10169960)?,"The budget impact of Secukinumab in Italy was distributed as cost saving in Psoriasis patients and an increased budget in Ankylosing Spondylitis patients. Specifically, there was a cost saving of €8.0 million in Psoriasis patients, while there was an increased budget of €8.0 million in Ankylosing Spondylitis patients.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"In nr-axSpA patients, secukinumab reported no significant budget increase (+ 1.0%).",What was the budget increase reported for secukinumab in nr-axSpA patients (pmcid=10169960)?,"In nr-axSpA patients, secukinumab reported no significant budget increase (+ 1.0%).",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"Conclusion: This BIA accounted for the new indication of secukinumab in nr-axSpA patients, reporting no significant changes in the required budget and adding an effective treatment option.",What indication of secukinumab was accounted for in the budget impact model (pmcid=10169960)?,The budget impact model accounted for the new indication of secukinumab in non-radiographic axial spondyloarthritis (nr-axSpA) patients.,
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,"Considering all indications, secukinumab is a sustainable treatment option.",Is secukinumab considered a sustainable treatment option for all indications (pmcid=10169960)?,"Yes, considering all indications, secukinumab is considered a sustainable treatment option according to the information provided in the context.",
10169960,Cortesi PA,"A Cross-Indication Budget Impact Model of Secukinumab for the Treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis and Non-radiographic Axial Spondyloarthritis in Italy",2023,bim,Supplementary Information: The online version contains supplementary material available at 10.1007/s41669-023-00404-3.,What supplementary material is available in the online version of the article (pmcid=10169960)?,"The supplementary material available in the online version of the article with pmcid 10169960 includes additional information related to the budget impact model of Secukinumab for the treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, and Non-radiographic Axial Spondyloarthritis in Italy.",
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"- BACKGROUND:: In 2017, the FDA approved the adjuvanted recombinant zoster vaccine (RZV) for the prevention of herpes zoster (HZ) in immunocompetent adults aged 50 years and older.",What vaccine was approved by the FDA in 2017 for the prevention of herpes zoster in immunocompetent adults aged 50 years and older? (pmcid=10391059),The adjuvanted recombinant zoster vaccine (RZV) was approved by the FDA in 2017 for the prevention of herpes zoster in immunocompetent adults aged 50 years and older.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,RZV joined zoster vaccine live (ZVL) as U.S.-marketed vaccines against HZ.,What vaccines are being compared in the study (pmcid=10391059)?,Recombinant zoster vaccine (RZV) and zoster vaccine live (ZVL),
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,The Advisory Committee on Immunization Practices preferentially recommended use of RZV over ZVL.,What did the Advisory Committee on Immunization Practices preferentially recommend the use of? (pmcid=10391059),RZV,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"In order to inform population-based decision makers (PBDMs) about the incremental clinical and economic impact of RZV adoption, budget impact (BI) models may be used.",What may be used to inform population-based decision makers about the incremental clinical and economic impact of RZV adoption (pmcid=10391059)?,Budget impact (BI) models may be used.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"Populating such models with national data can inform PBDMs about the incremental value of RZV adoption nationally; however, heterogeneity across health plans requires the inclusion of plan-specific data to ensure the relevance of modeling outcomes for plan-specific decision makers.",What can inform PBDMs about the incremental value of RZV adoption nationally (pmcid=10391059)?,Populating such models with national data can inform PBDMs about the incremental value of RZV adoption nationally.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"OBJECTIVE:: To investigate the clinical and economic outcomes associated with the adoption of RZV in nationally representative populations with commercial and Medicare coverage and to demonstrate the effect of the heterogeneity of health plans using real-world data from a large, integrated delivery network (IDN).",What was the objective of the study (pmcid=10391059)?,"The objective of the study was to investigate the clinical and economic outcomes associated with the adoption of recombinant zoster vaccination (RZV) in nationally representative populations with commercial and Medicare coverage, and to demonstrate the effect of the heterogeneity of health plans using real-world data from a large, integrated delivery network (IDN).",
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,METHODS:: We used a publicly available BI model.,What type of budget impact model was used in the study (pmcid=10391059)?,The study used a publicly available budget impact model.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"The model accounts for national and IDN-collected population characteristics (size, age distribution) and epidemiological data (incidence of HZ and complications, HZ recurrence rate), vaccine characteristics from randomized controlled trials and observational studies (efficacy, waning, second dose compliance for RZV, adverse event rate), national costs (vaccine, direct medical for HZ, complications, and vaccine adverse events), and current and anticipated vaccine coverage.","What data does the model account for in terms of population characteristics, epidemiological data, vaccine characteristics, national costs, and vaccine coverage? (pmcid=10391059)","The model accounts for national and IDN-collected population characteristics (size, age distribution), epidemiological data (incidence of HZ and complications, HZ recurrence rate), vaccine characteristics from randomized controlled trials and observational studies (efficacy, waning, second dose compliance for RZV, adverse event rate), national costs (vaccine, direct medical for HZ, complications, and vaccine adverse events), and current and anticipated vaccine coverage.",
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"We assessed incremental clinical (HZ cases and complications) and economic (per-member-per-month [PMPM] costs) impact at 5-year to 15-year time horizons, comparing scenarios where RZV is solely implemented with one where only ZVL is utilized.",What scenarios were compared in terms of incremental clinical and economic impact in the study (pmcid=10391059)?,The study compared scenarios where only the recombinant zoster vaccine (RZV) is implemented with scenarios where only the zoster vaccine live (ZVL) is utilized in terms of incremental clinical and economic impact.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"RESULTS:: Following the adoption of RZV, the incremental HZ cases avoided over 5 and 15 years were estimated to be 1,800 and 15,000 for a commercial plan, 3,800 and 21,000 for a Medicare plan, and 8,600 and 71,000 for a specific IDN.",How many incremental herpes zoster cases were estimated to be avoided over 5 and 15 years for a specific IDN? (pmcid=10391059),"8,600 and 71,000",
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"The incremental PMPM budget impact over the same time horizons was estimated to be $0.42 and $0.31, respectively, for a commercial plan, $0.35 and $0.10 for a Medicare plan, and $0.39 and $0.25 for a specific IDN.",What was the incremental PMPM budget impact estimated to be for a commercial plan over the same time horizons (pmcid=10391059)?,The incremental PMPM budget impact for a commercial plan was estimated to be $0.42 and $0.31 over the same time horizons.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"The differences in results across plans resulted from the population age distribution, the vaccine copay (applied in the Medicare scenario only), the vaccine coverage in the plan, and other plan-specific factors affecting disease epidemiology and costs per case of HZ.",What factors influenced the differences in results across plans in the study (pmcid=10391059)?,"The factors that influenced the differences in results across plans in the study were the population age distribution, the vaccine copay (applied in the Medicare scenario only), the vaccine coverage in the plan, and other plan-specific factors affecting disease epidemiology and costs per case of HZ.",
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"CONCLUSIONS:: Model projections indicated that RZV adoption avoided HZ cases and related complications, with the PMPM budget impact dependent on plan-specific factors.",What did the model projections indicate about RZV adoption and its impact on HZ cases and related complications (pmcid=10391059)?,The model projections indicated that RZV adoption avoided HZ cases and related complications.,
10391059,Patterson BJ,Incremental clinical and economic impact of recombinant zoster vaccination: real-world data in a budget impact model,2020,bim,"As health gains increased over time, the incremental costs incurred were found to decrease as the shorter-term costs of adopting the new vaccine were increasingly offset by the longer-term benefits of vaccination.",What were the incremental costs incurred found to decrease over time as health gains increased (pmcid=10391059)?,The incremental costs incurred were found to decrease over time as health gains increased.,
10402749,Ken-Opurum J,A value-based budget impact model for dronedarone compared with other rhythm control strategies,2023,bim,- Aims:: The budgetary consequences of increasing dronedarone utilization for treatment of atrial fibrillation were evaluated from a US payer perspective.,What were the budgetary consequences evaluated in the study (pmcid=10402749)?,The budgetary consequences evaluated in the study were the increasing utilization of dronedarone for the treatment of atrial fibrillation from a US payer perspective.,
10402749,Ken-Opurum J,A value-based budget impact model for dronedarone compared with other rhythm control strategies,2023,bim,"Materials & methods:: A budget impact model over a 5-year time horizon was developed, including drug-related costs and risks for long-term clinical outcomes (LTCOs).",What time horizon was considered in the budget impact model developed for dronedarone compared with other rhythm control strategies (pmcid=10402749)?,The budget impact model considered a 5-year time horizon.,
10402749,Ken-Opurum J,A value-based budget impact model for dronedarone compared with other rhythm control strategies,2023,bim,"Treatments included antiarrhythmic drugs (AADs; dronedarone, amiodarone, sotalol, propafenone, dofetilide, flecainide), rate control medications, and ablation.",What treatments were included in the study (pmcid=10402749)?,"The treatments included in the study were antiarrhythmic drugs (AADs) such as dronedarone, amiodarone, sotalol, propafenone, dofetilide, and flecainide, as well as rate control medications and ablation.",
10402749,Ken-Opurum J,A value-based budget impact model for dronedarone compared with other rhythm control strategies,2023,bim,Direct comparisons and temporal and non-temporal combination scenarios investigating treatment order were analyzed as costs per patient per month (PPPM).,What was analyzed as costs per patient per month in the study (pmcid=10402749)?,Direct comparisons and temporal and non-temporal combination scenarios were analyzed as costs per patient per month (PPPM) in the study.,
