pmcid,question,answer,
10169960,What recent developments improved outcomes in patients with autoimmune diseases? (pmcid=10169960),Recent developments improved outcomes in patients with autoimmune diseases.,
10169960,What were biologics approved as first-line treatment for in selected naïve patients? (pmcid=10169960),"Biologics were approved as first-line treatment for plaque psoriasis (PsO), psoriatic arthritis (PsA), ankylosing spondylitis (AS), and non-radiographic axial spondyloarthritis (nr-axSpA) in selected naïve patients.",
10169960,What was secukinumab most recently approved for the treatment of in adults (pmcid=10169960)?,Secukinumab was most recently approved for the treatment of active non-radiographic axial spondyloarthritis (nr-axSpA) in adults.,
10169960,What did the work assess in the Italian market (pmcid=10169960)?,The work assessed the budget impact of new secukinumab treatment options in the Italian market.,
10169960,What was the perspective of the budget impact model analysis (pmcid=10169960)?,The perspective of the budget impact model analysis in pmcid 10169960 was from the National Health System perspective.,
10169960,Who were included in the model for the budget impact analysis (pmcid=10169960)?,"All adults with Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, and Non-radiographic Axial Spondyloarthritis, treated with biologics or biosimilars.",
10169960,What costs were compared in the study for the four diseases combined and taken individually (pmcid=10169960)?,"The study compared costs between two scenarios, secukinumab availability or absence, for the four diseases combined and taken individually.",
10169960,Was a sensitivity analysis conducted (pmcid=10169960)?,Yes.,
10169960,How many adult patients were treated with biologics in 2021 and 2023? (pmcid=10169960),"68,121 adult patients were treated with biologics in 2021 and 68,341 in 2023.",
10169960,What cost reduction was observed over 3 years with the introduction of secukinumab in the budget impact analysis (pmcid=10169960)?,€33.7 million,
10169960,How much savings did PsA patients have in the study conducted by Cortesi PA? (pmcid=10169960),PsA patients had a savings of €34.9 million in the study conducted by Cortesi PA.,
10169960,How was the budget impact of Secukinumab in Italy distributed among Psoriasis and Ankylosing Spondylitis patients (pmcid=10169960)?,"The budget impact of Secukinumab in Italy was distributed as cost saving in Psoriasis patients and an increased budget in Ankylosing Spondylitis patients. Specifically, there was a cost saving of €8.0 million in Psoriasis patients, while there was an increased budget of €8.0 million in Ankylosing Spondylitis patients.",
10169960,What was the budget increase reported for secukinumab in nr-axSpA patients (pmcid=10169960)?,"In nr-axSpA patients, secukinumab reported no significant budget increase (+ 1.0%).",
10169960,What indication of secukinumab was accounted for in the budget impact model (pmcid=10169960)?,The budget impact model accounted for the new indication of secukinumab in non-radiographic axial spondyloarthritis (nr-axSpA) patients.,
10169960,Is secukinumab considered a sustainable treatment option for all indications (pmcid=10169960)?,"Yes, considering all indications, secukinumab is considered a sustainable treatment option according to the information provided in the context.",
10169960,What supplementary material is available in the online version of the article (pmcid=10169960)?,"The supplementary material available in the online version of the article with pmcid 10169960 includes additional information related to the budget impact model of Secukinumab for the treatment of Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, and Non-radiographic Axial Spondyloarthritis in Italy.",
10402749,What were the budgetary consequences evaluated in the study (pmcid=10402749)?,The budgetary consequences evaluated in the study were the increasing utilization of dronedarone for the treatment of atrial fibrillation from a US payer perspective.,
10402749,What time horizon was considered in the budget impact model developed for dronedarone compared with other rhythm control strategies (pmcid=10402749)?,The budget impact model considered a 5-year time horizon.,
10402749,What treatments were included in the study (pmcid=10402749)?,"The treatments included in the study were antiarrhythmic drugs (AADs) such as dronedarone, amiodarone, sotalol, propafenone, dofetilide, and flecainide, as well as rate control medications and ablation.",
10402749,What was analyzed as costs per patient per month in the study (pmcid=10402749)?,Direct comparisons and temporal and non-temporal combination scenarios were analyzed as costs per patient per month (PPPM) in the study.,
10402749,What were the projected cost savings for treatment with dronedarone versus ablation or rate control medications + ablation by year 5 (pmcid=10402749)?,"By year 5, the projected cost savings for treatment with dronedarone versus ablation or rate control medications + ablation were $359.94 and $370.54, respectively.",
10402749,Did increased dronedarone utilization result in incremental cost reductions over time (pmcid=10402749)?,"Yes, increased dronedarone utilization resulted in incremental cost reductions over time according to the study with pmcid=10402749.",
10570167,What age group is influenza vaccination mainly advised for in Germany (pmcid=10570167)?,"In Germany, influenza vaccination is mainly advised for persons aged 60 years and over.",
10570167,What vaccine has been recommended for persons aged 60 years and over since 2021 (pmcid=10570167)?,"An inactivated, quadrivalent high-dose influenza vaccine (IIV4-HD)",
10570167,What was the aim of this study (pmcid=10570167)?,The aim of the study with pmcid=10570167 was to calculate the impact of vaccinating the German population aged 60 years and over with a Quadrivalent High-Dose Inactivated Influenza Vaccine (IIV4-HD) compared to standard-dose influenza vaccines (IIV4-SD) with regard to health outcomes and costs.,
10570167,What season was simulated in the age-stratified deterministic compartment model for the German population? (pmcid=10570167),The season simulated in the age-stratified deterministic compartment model for the German population was the season 2019/20.,
10570167,What were the probabilities for health outcomes and cost data used for in the study (pmcid=10570167)?,The probabilities for health outcomes and cost data were used to compare the influenza-related health and economic effects for different scenarios in the study with pmcid=10570167.,
10570167,What were the perspectives considered in the study (pmcid=10570167)?,The perspectives considered in the study were those of the statutory health insurance and the society.,
10570167,Were deterministic sensitivity analyses conducted in the study? (pmcid=10570167),"Yes, deterministic sensitivity analyses were conducted in the study.",
10570167,"How many infections would have been prevented by vaccinating the German population aged 60 years and over with IIV4-HD compared to IIV4-SD, from the statutory health insurance perspective? (pmcid=10570167)","277,026 infections",
10570167,How many infections would be prevented by increased vaccination of 75% in persons aged 60 years and over using IIV4-SD only? (pmcid=10570167),"1,289,648 infections",
10570167,What insights does the modeling approach offer into the epidemiological and budgetary impact of different vaccination scenarios? (pmcid=10570167),The modeling approach offers important insights into the epidemiological and budgetary impact of different vaccination scenarios.,
10570167,What would be the result of achieving a higher vaccination coverage with IIV4-SD in persons aged 60 years and over compared to the scenario with IIV4-HD and actual vaccination rates (pmcid=10570167)?,Lower costs and fewer influenza infections,
10570167,What supplementary material is available in the online version of the article (pmcid=10570167)?,"The supplementary material available in the online version of the article with pmcid=10570167 includes additional information related to the study, such as data, tables, figures, or additional analysis.",
10442735,What is the expected diabetes prevalence in South Africa by 2030 (pmcid=10442735)?,The expected diabetes prevalence in South Africa by 2030 is 5.4 million.,
10442735,How do diabetes-related complications impact both patient health and the economy in South Africa (pmcid=10442735)?,"Diabetes-related complications in South Africa severely impact both patient health and quality of life, as well as the economy.",
10442735,What benefit did the Diabetes Nurse Educator (DNE) study assess by adding the MyDiaCare program to standard of care for managing patients with type 1 and type 2 diabetes in South Africa (pmcid: 10442735)?,The Diabetes Nurse Educator (DNE) study assessed the benefit of adding the MyDiaCare program to standard of care for managing patients with type 1 and type 2 diabetes in South Africa.,
10442735,What was the purpose of the economic study conducted in the South African private health care sector (pmcid=10442735)?,The purpose of the economic study conducted in the South African private health care sector was to estimate the budget impact of adding MyDiaCare to the standard of care for patients with type 2 diabetes older than 19 years.,
10442735,What type of study design was used in the real-world DNE study (pmcid=10442735)?,"The real-world DNE study used an observational, retrospective, multicenter, single-group study design.",
10442735,How long did eligible patients have to participate in the MyDiaCare program? (pmcid=10442735),Eligible patients had to have at least 6 months of participation in the MyDiaCare program.,
10442735,What does the MyDiaCare program combine according to the abstract sentence? (pmcid=10442735),The MyDiaCare program combines a patient mobile app and a health care professional platform with face-to-face visits with a Diabetes Nurse Educator (DNE).,
10442735,What was assessed to determine the benefit of MyDiaCare after 6 months of participation in the program (pmcid=10442735)?,"The benefit of MyDiaCare was assessed by the changes in glycated hemoglobin (HbA1c) levels, the proportion of patients achieving clinical and biological targets, adherence to care plans, and satisfaction after 6 months of participating in the MyDiaCare program.",
10442735,What data was used to estimate the economic impact of MyDiaCare in the budget impact model (pmcid=10442735)?,Data from the DNE study and another South African cohort of the DISCOVERY study was used to estimate the economic impact of MyDiaCare in the budget impact model.,
10442735,"How many patients were enrolled in the study between November 25, 2019, and June 30, 2020 (pmcid=10442735)?","117 patients were enrolled in the study between November 25, 2019, and June 30, 2020 (pmcid=10442735).",
10442735,What was the observed decrease in mean HbA1c levels after 6 months of MyDiaCare (pmcid=10442735)?,0.60%,
10442735,Did 54% of patients reach or maintain their HbA1c targets at 6 months (pmcid=10442735)?,"Yes, 54% of patients reached or maintained their HbA1c targets at 6 months according to the information provided in the context.",
10442735,What percentage of patients achieved their target for low-density-lipoprotein (LDL) cholesterol in the study (pmcid=10442735)?,69%,
10442735,What was the mean overall adherence to the MyDiaCare care plan? (pmcid=10442735),The mean overall adherence to the MyDiaCare care plan was 93%.,
10442735,Were most patients satisfied with the MyDiaCare program (pmcid=10442735)?,"Yes, most patients (74%) were satisfied with the MyDiaCare program according to the study associated with pmcid=10442735.",
10442735,"What was the estimated net budget impact per patient with type 2 diabetes, older than 19 years, treated in the private sector using MyDiaCare during the first year of introducing MyDiaCare? (pmcid: 10442735)","The estimated net budget impact per patient with type 2 diabetes, older than 19 years, treated in the private sector using MyDiaCare during the first year of introducing MyDiaCare was approximately South African Rands (ZAR) 71,023 (US $4089).",
10442735,Was the MyDiaCare program found to be a cost-saving solution for diabetes management in the South African private health care sector (pmcid=10442735)?,"Yes, the MyDiaCare program was found to be a cost-saving solution for diabetes management in the South African private health care sector, according to the study associated with pmcid 10442735.",
9910243,What is chronic inflammatory demyelinating polyneuropathy (CIDP) and what does it cause? (pmcid=9910243),"Chronic inflammatory demyelinating polyneuropathy (CIDP) is a rare, progressive autoimmune disease that causes peripheral nervous system dysfunction.",
9910243,What do guidelines recommend as an immunomodulatory agent in CIDP? (pmcid=9910243),Immunoglobulin (IG) therapy,
9910243,What are some drawbacks and unmet needs associated with intravenous immunoglobulin (IVIG) (pmcid=9910243)?,"Some drawbacks and unmet needs associated with intravenous immunoglobulin (IVIG) include adverse effects, wear-off effects, and the burden of administration based on site of care.",
9910243,How does subcutaneous administration of Hizentra reduce patient burden and adverse events? (pmcid=9910243),Subcutaneous administration of Hizentra reduces patient burden by allowing self-administration outside the hospital setting and has fewer adverse events (AEs).,
9910243,What was the objective of the study comparing Hizentra with IVIG for maintenance treatment of CIDP in the United States? (pmcid=9910243),The objective of the study was to compare the expected cost of treatment and the budget impact of Hizentra compared with IVIG for maintenance treatment of CIDP in the United States.,
9910243,What type of model was developed to estimate the expected budget impact of maintenance treatment with Hizentra for US stakeholders? (pmcid=9910243),A decision tree model was developed.,
9910243,What perspective does the budget impact model of maintenance treatment of Chronic Inflammatory Demyelinating Polyneuropathy with IgPro20 (Hizentra) adopt primarily (pmcid=9910243)?,The budget impact model primarily adopts a US integrated delivery network perspective.,
9910243,What were the pharmacy costs based on in the budget impact model for maintenance treatment of Chronic Inflammatory Demyelinating Polyneuropathy with IgPro20 (Hizentra) relative to Intravenous Immunoglobulin in the United States (pmcid=9910243)?,"The pharmacy costs were based on a payment mix of average sales price (73%), wholesale acquisition cost (2%), and average wholesale price (25%).",
9910243,What do the costs in the model reflect (pmcid=9910243)?,Costs in the model reflect 2022 US dollars.,
9910243,Was discounting performed in accordance with ISPOR guidelines and recommendations for budget impact modeling (pmcid=9910243)?,"No, discounting was not performed in accordance with ISPOR guidelines and recommendations for budget impact modeling in the study with pmcid=9910243.",
9910243,What clinical study was used to determine relapse rates for Hizentra maintenance in CIDP (pmcid=9910243)?,The PATH clinical study was used to determine relapse rates for Hizentra maintenance in CIDP.,
9910243,What was the basis of relapse rates for Gamunex (and other IVIGs) in the ICE clinical study? (pmcid=9910243),The basis of relapse rates for Gamunex (and other IVIGs) in the ICE clinical study was the Gamunex maintenance in CIDP.,
9910243,"What estimates were obtained for infusion costs, costs of IVIG infusion-related complications, and significant IVIG AE rates? (pmcid=9910243)","Literature-based estimates were obtained for infusion costs by site of care, costs of IVIG infusion-related complications, and significant IVIG AE rates.",
9910243,What were the adverse event rates for Hizentra assessed in the model (pmcid=9910243)?,"The adverse event rates for Hizentra were assessed from the US Hizentra prescribing information, but they were not included in the model as the adverse events in Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) were mild, easily treated, and self-limited.",
9910243,What type of analyses were conducted to evaluate variations from the base case in the study (pmcid=9910243)?,Sensitivity analyses and scenario analyses were conducted to evaluate variations from the base case in the study (pmcid=9910243).,
9910243,What are the expected annual cost savings per patient with Hizentra compared to IVIG? (pmcid=9910243),"The expected annual cost savings per patient with Hizentra compared to IVIG is US$32,447.",
9910243,What is the expected savings for a hypothetical 25-million-member plan with a 10% market share shift from IVIG to Hizentra? (pmcid=9910243),"The expected savings for a hypothetical 25-million-member plan with a 10% market share shift from IVIG to Hizentra is US$2,296,235.",
9910243,What economic benefit is projected for Hizentra compared to IVIG in managing CIDP? (pmcid=9910243),Hizentra is likely associated with favorable economic benefit compared with IVIG in managing CIDP.,
9910243,What supplementary material is available in the online version of the article (pmcid=9910243)?,The supplementary material available in the online version of the article with pmcid=9910243 includes additional information related to the budget impact model of maintenance treatment of Chronic Inflammatory Demyelinating Polyneuropathy with IgPro20 (Hizentra) relative to Intravenous Immunoglobulin in the United States.,
11849414,What are the routine tests used to detect M-proteins in MM patients (pmcid=11849414)?,Serum or urine protein electrophoresis (SPEP or UPEP) and immunofixation electrophoresis (SIFE or UIFE),4ae7b04289a67daab4a015e7c41bacf7
11849414,What is the limitation of SPEP and SIFE in measuring M-protein levels (pmcid=11849414)?,The limitation of SPEP and SIFE in measuring M-protein levels is that they are not sensitive enough to measure M-protein levels that are low but still clinically significant.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What diagnostic test was evaluated in the study (pmcid=11849414)?,"The EXENT GAM Assay, a serum-based quantitative-immunoprecipitation mass spectrometry (QIP-MS) diagnostic test.",4ae7b04289a67daab4a015e7c41bacf7
11849414,What data was used to create the budget impact model in Excel (pmcid=11849414)?,Data from MM clinical trials and fee schedules.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are patients tested with at predetermined timepoints in the study (pmcid=11849414)?,Patients are tested with either QIP-MS or SIFE at predetermined timepoints.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What will patients receive if they test negative? (pmcid=11849414),Patients will receive MRD testing.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What will the result of the MRD test determine (pmcid=11849414)?,The result of the MRD test will determine if the preceding serum-based test was a true negative result or a false negative result.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are the eligibility criteria for patients to receive one MRD test per year (pmcid=11849414)?,Patients receiving autologous stem cell transplant and those not receiving transplant are both eligible for one MRD test per year.,4ae7b04289a67daab4a015e7c41bacf7
11849414,When does MRD testing occur for transplant-eligible patients (pmcid=11849414)?,MRD testing for transplant-eligible patients occurs prior to transplant and one year following transplant.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What is the hypothetical population size of multiple myeloma patients receiving 1st-line treatment in France in the study (pmcid=11849414)?,The hypothetical population size of multiple myeloma patients receiving 1st-line treatment in France in the study (pmcid=11849414) is 5154.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What are the total savings per QIP-MS test according to the abstract sentence provided (pmcid=11849414)?,The total savings per QIP-MS test according to the abstract sentence provided is €260.,4ae7b04289a67daab4a015e7c41bacf7
11849414,What does this study suggest about the use of QIP-MS prior to MRD testing for French patients with MM (pmcid=11849414)?,This study suggests that the use of QIP-MS prior to MRD testing may be cost-saving for testing French patients with MM.,4ae7b04289a67daab4a015e7c41bacf7
11871816,What are the cornerstone treatments for cardiovascular prevention in patients with peripheral artery disease (PAD) and/or stable coronary artery disease (SCAD) according to the abstract sentence provided (pmcid=11871816)?,Low-dose aspirin and rivaroxaban,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What effect does the combination of rivaroxaban with aspirin have on factor-induced platelet aggregation (pmcid=11871816)?,The combination of rivaroxaban with aspirin imposes a synergistic effect on the inhibition of factor-induced platelet aggregation.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What was the aim of the present work (pmcid=11871816)?,"The aim of the present work was to compare the cost-utility and cost-effectiveness of rivaroxaban plus aspirin, rivaroxaban alone, and aspirin alone in patients with peripheral artery disease or coronary artery disease and related subgroups.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What type of model was utilized in this pharmacoeconomic study (pmcid=11871816)?,State-transition decision Markov model,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What data was collected from the COMPASS trial (pmcid=11871816)?,Clinical efficacy and Clinical events were collected from the COMPASS trial.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What time horizon was used to assess health outcomes and cost in the study (pmcid=11871816)?,Health outcomes and cost were assessed over a 20-year time horizon (lifetime).,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What costs were included in the analysis (pmcid=11871816)?,The direct costs of medical services were included in the analysis.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the results based on in the study conducted by Goudarzi Z (pmcid=11871816)?,The results were based on Incremental Cost-Utility (ICUR) and Incremental Cost Effectiveness Ratio (ICER) in the study conducted by Goudarzi Z.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What type of sensitivity analyses were utilized to assess uncertainty in the study (pmcid=11871816)?,Deterministic and probabilistic sensitivity analyses were utilized to assess uncertainty in the study (pmcid=11871816).,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What discount rates were included for cost and effectiveness data in the analysis (pmcid=11871816)?,Discount rates of .058 and .03 were included for cost and effectiveness data in the analysis (pmcid=11871816).,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What was estimated as the financial burden resulting from the insurance coverage of rivaroxaban (pmcid=11871816)?,The budget impact based on the Markov model was estimated as the financial burden resulting from the insurance coverage of rivaroxaban.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the incremental cost-effectiveness ratios for treatment with rivaroxaban plus aspirin and rivaroxaban alone compared to aspirin alone in patients with coronary and peripheral artery diseases (pmcid=11871816)?,"The incremental cost-effectiveness ratios for treatment with rivaroxaban plus aspirin compared to aspirin alone were $4594 per quality-adjusted life year (QALY) and $3348 per life year gained (LYG). For treatment with rivaroxaban alone compared to aspirin alone, the incremental cost-effectiveness ratios were $13601 per QALY and $9901 per LYG.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the incremental cost-effectiveness ratio (ICER) and incremental cost-utility ratio (ICUR) values for rivaroxaban plus aspirin compared to aspirin alone in PAD patients (pmcid=11871816)?,The incremental cost-effectiveness ratio (ICER) was $9896/LYG and the incremental cost-utility ratio (ICUR) was $11929/QALY for rivaroxaban plus aspirin compared to aspirin alone in PAD patients.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What was the cost-effectiveness and budget impact analysis comparing rivaroxaban with or without aspirin to aspirin alone in patients with coronary and peripheral artery diseases in Iran (pmcid=11871816)?,The cost-effectiveness and budget impact analysis comparing rivaroxaban with or without aspirin to aspirin alone in patients with coronary and peripheral artery diseases in Iran found that treatment with rivaroxaban plus aspirin was expensive and less effective than aspirin alone.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What were the estimated annual budget impacts for rivaroxaban plus aspirin and rivaroxaban alone in patients with coronary and peripheral artery diseases in Iran (pmcid=11871816)?,"The estimated annual budget impact was $28,253,135 for rivaroxaban plus aspirin and $292,593,909 for rivaroxaban alone in patients with coronary and peripheral artery diseases in Iran.",ddc198ccb56f3d98e6906adc3f6f99cf
11871816,What did this study show about the cost-effectiveness of rivaroxaban plus aspirin in patients with coronary and peripheral artery diseases (pmcid=11871816)?,This study showed that rivaroxaban plus aspirin is a cost-effective alternative in patients with peripheral artery disease (PAD) and in the total of patients with coronary artery disease (CAD) and PAD.,ddc198ccb56f3d98e6906adc3f6f99cf
11871816,Was rivaroxaban plus aspirin or rivaroxaban alone cost-effective in CAD patients? (pmcid=11871816),"In CAD patients, rivaroxaban plus aspirin and rivaroxaban alone were not cost-effective.",ddc198ccb56f3d98e6906adc3f6f99cf
11881394,What is the background information provided in the abstract regarding Lennox-Gastaut syndrome (LGS) (pmcid=11881394)?,"The background information provided in the abstract regarding Lennox-Gastaut syndrome (LGS) is that it is a severe encephalopathic disease that leads to a decrease in the quality of life, physical injury, psychosocial impairment, and a significant increase in treatment costs.",f72ca8a5314e56cf03a3e5f7079df43c
11881394,What is cannabidiol approved for in the adjunctive treatment of Lennox Gastaut syndrome (pmcid=11881394)?,Cannabidiol (CBD) is approved for the adjunctive treatment of tonic-colonic seizures in Lennox Gastaut syndrome (LGS).,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What did the study aim to determine in patients with Lennox Gastaut syndrome (pmcid=11881394)?,The study aimed to determine the cost-effectiveness of cannabidiol (CBD) compared to the usual treatment in patients with Lennox Gastaut syndrome.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What type of model was developed to compare the cost-effectiveness of adjunctive CBD versus usual care (pmcid=11881394)?,Markov model,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What type of analysis was performed over a 5-year time horizon (pmcid=11881394)?,Budget impact analysis,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the incremental cost-effectiveness ratio (ICER) calculated for in this study (pmcid=11881394)?,The incremental cost-effectiveness ratio (ICER) was calculated for cost-effectiveness analysis (CEA) in this study (pmcid=11881394).,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the cost-effectiveness of cannabidiol compared to usual care in the base case scenario (pmcid=11881394)?,"In the base case scenario, cannabidiol (CBD) was cost-effective compared to usual care at $6573 per QALY.",f72ca8a5314e56cf03a3e5f7079df43c
11881394,What did the sensitivity analyses substantiate in the study on the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome (pmcid=11881394)?,The sensitivity analyses substantiated the results of the study on the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome.,f72ca8a5314e56cf03a3e5f7079df43c
11881394,"What is the probability that CBD is cost-effective at a willingness to pay of $18,261 per quality-adjusted life-year, from a healthcare perspective (pmcid=11881394)?",77%,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What was the increased budget associated with the market access of CBD in the next 5 years simulated (pmcid=11881394)?,"The increased budget associated with the market access of CBD in the next 5 years simulated was about $3,459,846 (+33%).",f72ca8a5314e56cf03a3e5f7079df43c
11881394,What is the overall budget increase expected in the next 5 years when comparing CBD to usual care in LGS patients (pmcid=11881394)?,Less than 34% overall budget increase,f72ca8a5314e56cf03a3e5f7079df43c
11881394,What do future studies need to confirm in the real world setting and in other countries (pmcid=11881394)?,Future studies need to confirm the value of cannabidiol as adjunctive treatment for Lennox Gastaut syndrome in the real world setting and in other countries.,f72ca8a5314e56cf03a3e5f7079df43c
11884430,What are major contributors to disability according to the abstract sentence provided (pmcid=11884430)?,Retinal diseases,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What represents a significant disease and economic burden in Colombia (pmcid=11884430)?,Diabetic macular edema (DME) and neovascular age-related macular degeneration (nAMD),b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is essential for the efficient allocation of healthcare resources (pmcid=11884430)?,Assessing the economic evaluation of available treatments is essential for the efficient allocation of healthcare resources.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is the objective of the study conducted by Samacá-Samacá D regarding the use of faricimab in the treatment of patients with DME and nAMD in Colombia (pmcid=11884430)?,The objective of the study conducted by Samacá-Samacá D regarding the use of faricimab in the treatment of patients with DME and nAMD in Colombia is to estimate the cost-effectiveness and budget impact of using faricimab within the Colombian health system.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What model was used to estimate the cost-effectiveness of faricimab in comparison to other treatments (pmcid=11884430)?,A 25-year Markov cohort model was used to estimate the cost-effectiveness of faricimab in comparison to other treatments in the study mentioned (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What methodological guidelines were used for conducting the cost-effectiveness and budget impact analysis in this study (pmcid=11884430)?,The methodological guidelines of the local health technology assessment agency were used for conducting the cost-effectiveness and budget impact analysis in this study (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the transition probabilities and injection frequencies derived from in the analysis (pmcid=11884430)?,The transition probabilities and injection frequencies were derived from the literature in the analysis of the use of Faricimab in Diabetic Macular Edema and Neovascular Age-Related Macular Degeneration in Colombia (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the drug prices retrieved from for the analysis (pmcid=11884430)?,Drug prices were retrieved from public local databases.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What was assessed in terms of quality-adjusted life years in the study (pmcid=11884430)?,Quality-adjusted life years (QALYs) were assessed.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What was the basis for estimating the potential patient population for the budget impact analysis in this study (pmcid=11884430)?,The potential patient population for the budget impact analysis was estimated based on disease prevalence and expert consultations.,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What were the cost savings generated by faricimab treat-and-extend compared to other treatments in diabetic macular edema and neovascular age-related macular degeneration in Colombia (pmcid=11884430)?,"In diabetic macular edema, faricimab treat-and-extend generated cost savings of $3849 compared to aflibercept treat-and-extend, $1375 compared to ranibizumab treat-and-extend, and $2824 compared to brolucizumab for 8 to 12 weeks. In neovascular age-related macular degeneration, faricimab treat-and-extend also showed cost savings of $7223 compared to aflibercept as needed, $5792 compared to ranibizumab as needed, and $6798 compared to brolucizumab for 8 to 12 weeks.",b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What annual market share increase assumptions were made for faricimab in the study (pmcid=11884430)?,An annual market share increase of 15% for Diabetic Macular Edema (DME) and 13% for Neovascular Age-Related Macular Degeneration (nAMD) was assumed for faricimab in the study (pmcid=11884430).,b08d4c1364fb11ef6f4a4ffba4caf89c
11884430,What is the conclusion regarding the cost-effectiveness of faricimab for both DME and nAMD in Colombia (pmcid=11884430)?,"Faricimab is a cost-effective alternative for both Diabetic Macular Edema (DME) and Neovascular Age-Related Macular Degeneration (nAMD) in Colombia, showing dominance over other anti-vascular endothelial growth factor agents.",b08d4c1364fb11ef6f4a4ffba4caf89c
