pmcid,first_author,title,source,year,abstract,type
10333156,Lin YS,A Simple Cost-Effectiveness Model of Screening: An Open-Source Teaching and Research Tool Coded in R,Pharmacoecon Open,2023,"- Applied cost-effectiveness analysis models are an important tool for assessing health and economic effects of healthcare interventions but are not best suited for illustrating methods. Our objective is to provide a simple, open-source model for the simulation of disease-screening cost-effectiveness for teaching and research purposes. We introduce our model and provide an initial application to examine changes to the efficiency frontier as input parameters vary and to demonstrate face validity. We described a vectorised, discrete-event simulation of screening in R with an Excel interface to define parameters and inspect principal results. An R Shiny app permits dynamic interpretation of simulation outputs. An example with 8161 screening strategies illustrates the cost and effectiveness of varying the disease sojourn time, treatment effectiveness, and test performance characteristics and costs on screening policies. Many of our findings are intuitive and straightforward, such as a reduction in screening costs leading to decreased overall costs and improved cost-effectiveness. Others are less obvious and depend on whether we consider gross outcomes or those net to no screening. For instance, enhanced treatment of symptomatic disease increases gross effectiveness, but reduces the net effectiveness and cost-effectiveness of screening. A lengthening of the preclinical sojourn time has ambiguous effects relative to no screening, as cost-effectiveness improves for some strategies but deteriorates for others. Our simple model offers an accessible platform for methods research and teaching. We hope it will serve as a public good and promote an intuitive understanding of the cost-effectiveness of screening.",cem
12042820,Antillon M,Microarray patch vaccines for typhoid conjugate vaccines: A global cost-effectiveness analysis,Vaccine,2025,"- A novel typhoid conjugate vaccine (TCV) presentation, the microarray patch (MAP), is in early-stage development and could potentially help to increase coverage in hard-to-reach populations beyond what is being achieved with the current TCV in a vial presentation administered with a needle and syringe (TCV-N&S). However, TCV-MAPs may come at a higher price per dose than TCV-N&S. Our analysis evaluated the potential cost-effectiveness of TCV-MAPs alongside TCV-N&S compared to TCV-N&S alone. A global extended cost-effectiveness analysis, taking a health care perspective, was conducted for 133 low- to upper-middle-income countries for a time horizon of 20 years (2033-2052). Health outcomes were expressed in disability-adjusted life years (DALYs) and costs in 2021 US dollars, both discounted at 3 %. We assumed TCV-MAP would cost 1.33 to 3 times the price of the TCV-N&S vaccine. We calculated incremental cost-effectiveness ratios and evaluated them against various cost-effectiveness thresholds. For five selected countries, we conducted an additional subnational analysis to understand the potential value of a district-specific TCV-MAP implementation instead of a national rollout. Across the 133 low- to upper-middle-income countries, national rollout of TCV-MAPs could avert an additional 5.2 million cases, 47,000 deaths, and 2.4 million DALYs compared to TCV-N&S only, at an additional cost of US$3.5 billion over 20 years. The largest proportion of the averted burden would be in the sub-Saharan African region. TCV-MAPs could be cost-effective in 33 % of the countries but in 78 % of sub-Saharan African countries. A subnational implementation could benefit some countries for which a national implementation may not be cost-effective, averting 2-15 % of cases for less than 1-3 % of the additional cost as compared to a national rollout. MAP price was a key driver of the results. Regional or subnational implementation, coupled with a lower price point, could significantly improve the TCV-MAP value proposition.",cem
12049938,Rehse H,Assessing the effectiveness and cost-effectiveness of a smart home emergency call system: study protocol for a randomised controlled trial in Germany,BMJ Open,2025,"- INTRODUCTION: Falls can lead to serious health-related consequences in the older population. If an emergency occurs within the home environment of an older person living alone, the initiation of emergency care can be delayed, leading to even worse outcomes for this population. Smart home emergency call systems (HECSs) can detect falls and automatically trigger an emergency alarm, potentially reducing time to emergency care and improving outcomes. The INES (Intelligentes NotfallErkennungsSystem-smart emergency detection system) study is a prospective randomised controlled trial conducted in three German federal states that aims to investigate the effectiveness and cost-effectiveness of a smart HECS. METHODS AND ANALYSIS: Following a telephone interview, individuals aged 70 years or older, living alone, at risk of falling and willing to participate are included in the study. Participants are assigned to one of two groups depending on their previous use of a HECS. Based on the sample size calculation, the study aims to recruit n=498 participants already using a standard HECS (group A) and n=1378 participants who have not used a HECS before (group B). Within both groups, participants are randomised into the intervention arm (IA) and control arm (CA). The IA receives a smart HECS during the 21-month follow-up period. In addition to a standard HECS with a base station and a wearable radio transmitter, the smart HECS includes sensors that can detect falls and automatically trigger an alarm. The primary outcome assessed will be the days spent in the hospital after an emergency admission. Secondary outcomes include the utilisation of healthcare services and their total costs, progression of care dependency, fear of falling (Falls Efficacy Scale-International), health-related quality of life (EQ-5D-5L) and well-being (ICEpop CAPability measure for Older people). ETHICS AND DISSEMINATION: The design and conceptualisation of the INES study were approved by the ethics committee of the Hamburg Medical Association on 26 June 2023 (2023-101032-BO-ff). Results of the INES study will be published in peer-reviewed articles. TRIAL REGISTRATION NUMBER: Deutsches Register Klinischer Studien, German Clinical Trials Register DRKS00031408. Registered on 28 June 2023.",cem
12041651,Berti G,Efficacy and safety of antiviral treatments for symptomatic COVID-19 outpatients: network meta-analysis and budget impact analysis,Front Pharmacol,2025,"- INTRODUCTION: Remdesivir (RDV) and nirmatrelvir/ritonavir (NRM/RTV) are two antiviral agents for treating outpatient adults with mild to moderate symptomatic COVID-19 at high risk of developing a severe disease. The review objectives are to compare the efficacy and safety of these antivirals based on published RCT and real-world data, and to evaluate costs from a healthcare perspective. METHODS: This study provides a network meta-analysis of RDV and NRM/RTV for early treatment of COVID-19. The outcomes analysed were hospitalisation for any cause and serious adverse events. A cost-analysis was performed incorporating drug costs, administration, hospitalisations, and management of adverse events. A budget impact analysis was estimated for the University Hospital of Padua. RESULTS: Our results indicated that RDV showed a trend towards a lower risk of hospitalisation compared to NRM/RTV (RR 1.59, 95% CI: 0.60-4.20), though this was not statistically significant. For safety, NRM/RTV demonstrated a slightly lower risk of serious adverse events compared to RDV (RR 0.92, 95% CI: 0.31-2.74), but without statistical significance. A cost analysis showed that NRM/RTV could save €550,854.46 per 1,000 patients. Finally, a budget impact analysis based on data from the University Hospital of Padua estimated annual savings of €210,977.25 if all early treatments were administered with NRM/RTV instead of RDV. DISCUSSION: The comparison of the two antiviral therapies for the early treatment of COVID-19 did not yield statistically significant differences in the potential efficacy and safety to prevent hospitalisation or serious adverse events. However, the results of the cost-analysis showed a saving in favour of NRM/RTV.",bim
12039530,Su HY,Within-trial cost-effectiveness of novel macrophage-regulating treatment on wound healing in patients with diabetic foot ulcers,J Food Drug Anal,2025,"- An M1/M2 macrophage-regulating treatment, ON101 cream, has shown its superior healing efficacy for diabetic foot ulcers (DFUs) versus standard absorbent dressing, according to a phase III trial. Given its high cost, corroborating the economic value of ON101 treatment can facilitate clinical and policy decision-makings. This study sought to evaluate the cost-effectiveness of ON101 versus an absorbent dressing for patients with DFUs from Taiwan's healthcare sector perspective. This economic evaluation utilized effectiveness and cost data (in 2022 USD) from a randomized controlled trial of ON101, published literature, and Taiwan's National Health Insurance program. Incremental cost-effectiveness ratio (ICER) against willingness-to-pay (WTP) threshold was estimated to determine the cost-effectiveness of treatment. Over a mean follow-up of 12.69 weeks in the full analysis set of patients (n = 236), 6 patients would need to be treated with ON101 versus the absorbent dressing to obtain a case of complete healing, which costed US$21,128 per complete-healing case gained. This ICER value was below WTP threshold of US$32,788. Cost-effective findings were consistent across sensitivity analyses, and more remarkable for patients with Wagner grade 2 ulcers, HbA(1c) >7%, and plantar ulcers. All these results were similar in modified intention-to-treat set. The high upfront drug cost of ON101 could be offset by its superior healing efficacy. Considering key prognostic factors for DFUs while optimizing the allocation of limited healthcare budgets, ON101 should be prioritized for severe cases with poor ulcer prognosis.",cem
11366214,Willis M,Budget impact models for lung cancer interventions: A systematic literature review,J Manag Care Spec Pharm,2024,"- BACKGROUND:: Budget impact models (BIMs) forecast the financial implications of adopting new technologies and the potential need for budget reallocation, thus playing a crucial role in reimbursement decisions. Despite the importance of accurate forecasts, studies indicate large discrepancies between estimates and reality. We are developing an artificial intelligence–based clinical decision tool to identify patients with non–small cell lung cancer who are most likely to benefit from immunotherapy. OBJECTIVE:: To evaluate the budgetary implications and describe a systematic literature review of published lung cancer BIMs. METHODS:: We searched PubMed and EMBASE for studies published between 2010 and 2023 that include BIMs that describe lung cancer interventions. Forward and backward reference searches were performed for all qualifying studies. We extracted author and publication year, country, interventions, disease stages, time horizon, analytical perspective, modeling methods used, types of costs included, sensitivity analyses conducted, and data sources used. We then evaluated adherence to the Professional Society for Health Economics and Pharmacoeconomics Research best-practice guidelines. RESULTS:: A total of 25 BIMs were identified, spanning 14 different countries. Model structure could not be ascertained definitively for nearly half of the models. The cost calculator approach was most common among the others. Time horizons ranged from 1 to 5 years, in line with recommendations. Most models compared drugs, 4 compared nondrug interventions, and 7 compared diagnostic technologies. Assumptions about market uptake were poorly documented and poorly motivated. Inclusion of cancer-related costs was rare. Adherence to best practices was variable and did not appear to improve over time. CONCLUSIONS:: The number of published BIMs for lung cancer exceeded expectations. There were modest trends toward publication frequency and model quality over time. Our analysis revealed variability across the models, as well as their adherence to best practices, indicating substantial room for improvement. Although none of the models were individually suitable for the purpose of evaluating an artificial intelligence–based treatment selection tool, some models provided valuable insights.",slr_bim
9831030,LeBlanc K,A Cost-Effectiveness Model to Determine Ostomy-Related Costs of Care and Health Outcomes Among People With an Ostomy in Canada Using a Ceramide-Infused Skin Barrier,J Wound Ostomy Continence Nurs,2023,"- The aim of this study was to determine whether a difference exists in the financial impact of the use of a 2-piece ceramide-infused skin barrier (CIB) versus standard of care barrier (SOC) in Ontario and Alberta using a cost-effectiveness model over a 1-year period for people with a fecal or urinary ostomy.DESIGN:: A cost-effectiveness model adapted from a previously published work. SUBJECTS AND SETTING:: The model was populated with data inputs from a hypothetical cohort of 1000 individuals in Ontario and 4000 in Alberta. Model results were assessed for robustness via the use of deterministic and probabilistic sensitivity analyses. The provinces of Ontario and Alberta were chosen because cost data were readily accessible. The combined population of these provinces accounts for 50% of Canada's population. RESULTS:: An expected cost savings of Can$443.13 (US $322.60) and Can$243.84 (US $177.52) per user for the hypothetical cohort of 1000 individuals in Ontario and 4000 in Alberta per year was obtained for those using a CIB versus a non-infused skin barrier in Ontario and Alberta, respectively. The incremental cost effectiveness ratio (ICER) of CIB to SOC per peristomal skin complication (PSC) avoided and per quality-adjusted life day (QALD) gained was approximately Can$2702 (US $1967)/PSC and Can$1266 (US $922)/QALD for Ontario and approximately Can$1487 (US $1083)/PSC and Can$697 (US $507)/QALD for Alberta. Analysis indicated CIBs remained cost-effective across all sensitivity analyses performed. CONCLUSIONS:: Finding suggest that a CIB is cost-effective when compared to a barrier not infused with ceramide when applied to persons with an ostomy and residing in the provinces of Alberta and Ontario.",cem
10455716,Sangeetha G,A Cost-effectiveness Model Comparing Urinary Biomarkers with Diuretic Renogram in Diagnosing Ureteropelvic Junction Obstruction in Children,J Indian Assoc Pediatr Surg,2023,"- Background and Aims:: In this cost-effectiveness model, we compared the cost-effectiveness of commonly used urinary biomarkers with conventional diuretic renogram (DR) in diagnosing ureteropelvic junction obstruction (UPJO). We hypothesized that urinary biomarkers are as effective as DR. Methods:: We used incremental cost-effectiveness ratio (ICER) as a tool for our cost-effectiveness analysis model. The cost of biomarker assay and renogram were sourced from the same center while the accuracy data of DR and urinary biomarkers from the relevant pubications. Results:: As the accuracy of individual biomarker increased, the ICER also got better. As a panel of biomarker was introduced, the ICER went to the negative range suggesting cost saving as well. ICER of most urine biomarkers is currently less expensive and less effective. When a biomarker panel was applied ICER became more expensive and effective. With higher samples, test running cost is likely to go down in future and thus biomarkers are likely become less expensive and more effective. Conclusions:: Individual urine biomarkers are currently less expensive and less effective compared to DR in predicting UPJO. In future, biomarker panel is likely to be more cost-effective and reduce the need for invasive renogram thus reducing the radiation exposure.",cem
11178649,Wright SJ,A structured process for the validation of a decision-analytic model: application to a cost-effectiveness model for risk-stratified national breast screening,Appl Health Econ Health Policy,2024,"- Background: Decision-makers require knowledge of the strengths and weaknesses of decision-analytic models used to evaluate healthcare interventions to be able to confidently use the results of such models to inform policy. A number of aspects of model validity have previously been described, but no systematic approach to assessing the validity of a model has been proposed. This study aimed to consolidate the different aspects of model validity into a step-by-step approach to assessing the strengths and weaknesses of a decision-analytic model. Methods: A pre-defined set of steps were used to conduct the validation process of an exemplar early decision-analytic-model-based cost-effectiveness analysis of a risk-stratified national breast cancer screening programme [UK healthcare perspective; lifetime horizon; costs (£; 2021)]. Internal validation was assessed in terms of descriptive validity, technical validity and face validity. External validation was assessed in terms of operational validation, convergent validity (or corroboration) and predictive validity. Results: The results outline the findings of each step of internal and external validation of the early decision-analytic-model and present the validated model (called ‘MANC-RISK-SCREEN’). The positive aspects in terms of meeting internal validation requirements are shown together with the remaining limitations of MANC-RISK-SCREEN. Conclusion: Following a transparent and structured validation process, MANC-RISK-SCREEN has been shown to have satisfactory internal and external validity for use in informing resource allocation decision-making. We suggest that MANC-RISK-SCREEN can be used to assess the cost-effectiveness of exemplars of risk-stratified national breast cancer screening programmes (NBSP) from the UK perspective. Implications: A step-by-step process for conducting the validation of a decision-analytic model was developed for future use by health economists. Using this approach may help researchers to fully demonstrate the strengths and limitations of their model to decision-makers. Supplementary Information: The online version contains supplementary material available at 10.1007/s40258-024-00887-z.",cem
11812765,Pigeolet M,"Cost-effectiveness of screening for developmental dysplasia of the hip in Karachi, Pakistan using a universally applicable cost-effectiveness model",BMJ Public Health,2024,"- Introduction: Developmental dysplasia of the hip (DDH) is a congenital anomaly of the hip socket that can lead to lifelong disability and pain when left untreated. DDH is a good candidate for screening because of its high frequency in population, availability of treatment and the possibility of secondary prevention. Pakistan currently does not have any systematic or universal neonatal screening programme for DDH. Methods: The cost-effectiveness model in this study uses one decision tree for each screening scenario: (1) the status quo, (2) universal screening by clinical examination, (3) universal screening by clinical examination with targeted ultrasound (US) screening, (4) and universal screening by US. Loss of disability-adjusted life-years (DALYs) is used as outcome variable. Results: When left untreated DDH creates a loss of 3.4 DALYs per person. Clinical examination and targeted US averts most DALYs per dollar spent. Generalised US averts more DALYs overall but requires a greater financial investment per DALY averted. Conclusions: Universal US screening reaches more children and can be considered the more equitable approach but requires 10 times the financial investment clinical examination and targeted US requires. The decision which option is most appropriate for Karachi, Pakistan depends on resource availability, geography, infrastructure, treatment capacity, health system values and societal factors in Pakistan.",cem
