SLR_pmcid_tbl,single_studies,question,answer
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What types of models are employed in these studies?,NICE TA 531 [42]: Partitioned survival; NICE TA 557 [41]: Partitioned survival; NICE TA 584 [44]: Partitioned survival; NICE TA 600 [43]: Partitioned survival; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Markov; PBAC 6.01 [48]: Partitioned survival; PBAC 6.04 [45]: Markov; PBAC 7.09 [49]: Partitioned survival; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Markov; pCODR 10101 [50]: Partitioned survival; pCODR 10153 [51]: Partitioned survival; SMC 1239/17 [53]: Partitioned survival; SMC 2127 [54]: Partitioned survival; SMC 2187 [55]: Partitioned survival; SMC 2207 [52]; resubmission of SMC 2127 [54]: Partitioned survival
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What time horizons are used in these studies?,NICE TA 531 [42]: 20 years; NICE TA 557 [41]: 20 years; NICE TA 584 [44]: 20 years; NICE TA 600 [43]: 20 years; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: 6 years; PBAC 6.01 [48]: 7.5 years; PBAC 6.04 [45]: 6 years; PBAC 7.09 [49]: 7.5 years; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: 6 years; pCODR 10101 [50]: 10 years; pCODR 10153 [51]: 10 years; SMC 1239/17 [53]: 20 years; SMC 2127 [54]: 20 years; SMC 2187 [55]: 30 years; SMC 2207 [52]; resubmission of SMC 2127 [54]: 20 years
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What interventions are compared in these studies?,NICE TA 531 [42]: Pembrolizumab vs. CTX; NICE TA 557 [41]: Pembrolizumab + CTX vs. pembrolizumab; pembrolizumab + CTX vs. CTX; NICE TA 584 [44]: Atezolizumab + CTX vs. CTX; NICE TA 600 [43]: Pembrolizumab + CTX vs. pembrolizumab; pembrolizumab + CTX vs. CTX; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Pembrolizumab vs. CTX; PBAC 6.01 [48]: Atezolizumab + CTX vs. CTX; PBAC 6.04 [45]: Pembrolizumab vs. CTX; PBAC 7.09 [49]: Pembrolizumab + CTX vs. pembrolizumab; pembrolizumab + CTX vs. CTX; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Pembrolizumab vs. CTX; pCODR 10101 [50]: Pembrolizumab vs. CTX; pCODR 10153 [51]: Pembrolizumab + CTX vs. CTX; SMC 1239/17 [53]: Pembrolizumab vs. CTX; SMC 2127 [54]: Pembrolizumab + CTX vs. CTX; SMC 2187 [55]: Pembrolizumab + CTX vs. CTX; SMC 2207 [52]; resubmission of SMC 2127 [54]: Pembrolizumab + CTX vs. CTX
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What are the titles or identifiers of these studies?,"Aggarwal et al. [28]: Aggarwal et al. [28]; Aggarwal et al. [29]: Aggarwal et al. [29]; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Bhadhuri et al. [9], adaptation of Huang et al. [17]; Chouaid et al. [10]: Chouaid et al. [10]; Chouaid et al. [30]: Chouaid et al. [30]; Criss et al. [11]: Criss et al. [11]; Georgieva et al. [31]: Georgieva et al. [31]; Georgieva et al. [13]: Georgieva et al. [13]; Giuliani and Bonetti [14]: Giuliani and Bonetti [14]; Guirgis [32]: Guirgis [32]; Harding et al. [33], publication corresponding to TA 557 [41]: Harding et al. [33], publication corresponding to TA 557 [41]; Harding et al. [34], publication corresponding to TA 600 [43]: Harding et al. [34], publication corresponding to TA 600 [43]; Hu and Goldman [36]: Hu and Goldman [36]; Hu and Hay [15]: Hu and Hay [15]; Hu et al. [35]: Hu et al. [35]; Huang et al. [17]: Huang et al. [17]; Huang et al. [16], adaptation of Huang et al. [17]: Huang et al. [16], adaptation of Huang et al. [17]; Insinga et al. [18]: Insinga et al. [18]; Insinga et al. [19]: Insinga et al. [19]; Kim et al. [37]: Kim et al. [37]; Liao et al. [20]: Liao et al. [20]; Loong et al. [21], adaptation of Huang et al. [17]: Loong et al. [21], adaptation of Huang et al. [17]; Pinheiro et al. [38]: Pinheiro et al. [38]; Roth et al. [39]: Roth et al. [39]"
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",Which countries are covered in these studies?,"Aggarwal et al. [28]: USA; Aggarwal et al. [29]: USA; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Switzerland; Chouaid et al. [10]: France; Chouaid et al. [30]: France; Criss et al. [11]: USA; Georgieva et al. [31]: USA, UK; Georgieva et al. [13]: USA, UK; Giuliani and Bonetti [14]: Italy; Guirgis [32]: USA; Harding et al. [33], publication corresponding to TA 557 [41]: England; Harding et al. [34], publication corresponding to TA 600 [43]: England; Hu and Goldman [36]: UK; Hu and Hay [15]: UK; Hu et al. [35]: UK; Huang et al. [17]: USA; Huang et al. [16], adaptation of Huang et al. [17]: USA; Insinga et al. [18]: USA; Insinga et al. [19]: USA; Kim et al. [37]: USA; Liao et al. [20]: China; Loong et al. [21], adaptation of Huang et al. [17]: Hong Kong; Pinheiro et al. [38]: Portugal"
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What perspectives are used in these studies?,"Aggarwal et al. [28]: US payer; Aggarwal et al. [29]: US payer; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Swiss payer perspective; Chouaid et al. [10]: French healthcare system; Chouaid et al. [30]: French healthcare system; Criss et al. [11]: US healthcare system; Georgieva et al. [31]: US cost and UK NHS; Georgieva et al. [13]: US cost and UK NHS; Giuliani and Bonetti [14]: NA; Guirgis [32]: NR; Harding et al. [33], publication corresponding to TA 557 [41]: England, NHS; Harding et al. [34], publication corresponding to TA 600 [43]: England, NHS; Hu and Goldman [36]: UK NHS; Hu and Hay [15]: UK NHS; Hu et al. [35]: UK NHS; Huang et al. [17]: US payer; Huang et al. [16], adaptation of Huang et al. [17]: Third-party US public payer; Insinga et al. [18]: US payer; Insinga et al. [19]: US payer; Kim et al. [37]: US payer; Liao et al. [20]: China societal; Loong et al. [21], adaptation of Huang et al. [17]: Hong Kong Hospital Authority; Pinheiro et al. [38]: Portugal societal; Roth et al. [39]: US payer"
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What are the base-case populations considered in these studies?,"Aggarwal et al. [28]: Metastatic non-squamous EGFR/ALK-negative NSCLC; Aggarwal et al. [29]: Metastatic non-squamous NSCLC; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Untreated metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; Chouaid et al. [10]: Chemotherapy-naïve metastatic squamous and non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; Chouaid et al. [30]: Untreated metastatic non-squamous NSCLC; Criss et al. [11]: Metastatic non-squamous NSCLC; Georgieva et al. [31]: Advanced NSCLC with PD-L1 ≥ 50%; Georgieva et al. [13]: Advanced EGFR/ALK-negative NSCLC with PD-L1 ≥ 50%; Giuliani and Bonetti [14]: Untreated metastatic EGFR/ALK/ROS1-negative NSCLC; Guirgis [32]: Advanced or metastatic NSCLC; Harding et al. [33], publication corresponding to TA 557 [41]: Untreated metastatic non-squamous EGFR/ALK-negative NSCLC; Harding et al. [34], publication corresponding to TA 600 [43]: Untreated metastatic squamous NSCLC with PD-L1 ≥ 50%; Hu and Goldman [36]: Chemotherapy-naïve metastatic NSCLC with PD-L1 TPS ≥ 50%; Hu and Hay [15]: Untreated locally advanced or metastatic NSCLC with PD-L1 TPS ≥ 50%; Hu et al. [35]: Metastatic NSCLC with PD-L1 TPS ≥ 50%; Huang et al. [17]: Untreated metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; Huang et al. [16], adaptation of Huang et al. [17]: Chemotherapy-naïve advanced or metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 1%; Insinga et al. [18]: Untreated metastatic non-squamous EGFR/ALK-negative NSCLC; Insinga et al. [19]: Untreated metastatic squamous EGFR/ALK-negative NSCLC; Kim et al. [37]: Metastatic squamous NSCLC; Liao et al. [20]: Advanced NSCLC with PD-L1 ≥ 50%; Loong et al. [21], adaptation of Huang et al. [17]: Metastatic EGFR/ALK-negative NSCLC; Pinheiro et al. [38]: Untreated metastatic NSCLC with PD-L1 ≥ 50%; Roth et al. [39]: "
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What types of models are employed in these studies?,"Aggarwal et al. [28]: Partitioned survival; Aggarwal et al. [29]: Partitioned survival; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Partitioned survival; Chouaid et al. [10]: Partitioned survival; Chouaid et al. [30]: Partitioned survival; Criss et al. [11]: Microsimulation; Georgieva et al. [31]: Markov; Georgieva et al. [13]: Markov microsimulation; Giuliani and Bonetti [14]: NA (analysis of pharmacological costs); Guirgis [32]: Unclear; Harding et al. [33], publication corresponding to TA 557 [41]: Partitioned survival; Harding et al. [34], publication corresponding to TA 600 [43]: Partitioned survival; Hu and Goldman [36]: Markov; Hu and Hay [15]: Markov; Hu et al. [35]: Markov; Huang et al. [17]: Partitioned survival; Huang et al. [16], adaptation of Huang et al. [17]: Partitioned survival; Insinga et al. [18]: Partitioned survival; Insinga et al. [19]: Partitioned survival; Kim et al. [37]: Partitioned survival; Liao et al. [20]: Markov; Loong et al. [21], adaptation of Huang et al. [17]: Partitioned survival; Pinheiro et al. [38]: Partitioned survival; Roth et al. [39]: NR"
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What time horizons are used in these studies?,"Aggarwal et al. [28]: 10 years; Aggarwal et al. [29]: Lifetime; Bhadhuri et al. [9], adaptation of Huang et al. [17]: 20 years; Chouaid et al. [10]: 10 years; Chouaid et al. [30]: 10 years; Criss et al. [11]: Lifetime; Georgieva et al. [31]: 5 years; Georgieva et al. [13]: Lifetime; Giuliani and Bonetti [14]: NA; Guirgis [32]: NR; Harding et al. [33], publication corresponding to TA 557 [41]: 20 years; Harding et al. [34], publication corresponding to TA 600 [43]: 30 years; Hu and Goldman [36]: 10 years; Hu and Hay [15]: Lifetime; Hu et al. [35]: Lifetime; Huang et al. [17]: Lifetime (20 years); Huang et al. [16], adaptation of Huang et al. [17]: 20 years; Insinga et al. [18]: 20 years; Insinga et al. [19]: 20 years; Kim et al. [37]: Lifetime; Liao et al. [20]: 10 years; Loong et al. [21], adaptation of Huang et al. [17]: 10 years; Pinheiro et al. [38]: Lifetime; Roth et al. [39]: NR"
8795065_Table_2,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What interventions are compared in these studies?,"Aggarwal et al. [28]: Pembrolizumab + CTX vs. CTX; Aggarwal et al. [29]: Pembrolizumab + CTX vs. CTX, Pembrolizumab vs. CTX, Atezolizumab + CTX vs. CTX; Bhadhuri et al. [9], adaptation of Huang et al. [17]: Pembrolizumab vs. CTX; Chouaid et al. [10]: Pembrolizumab vs. CTX; Chouaid et al. [30]: Pembrolizumab + CTX vs. CTX; Criss et al. [11]: Atezolizumab + CTX vs. CTX, Atezolizumab + CTX vs. pembrolizumab + CTX vs. CTX; Georgieva et al. [31]: Pembrolizumab vs. CTX; Georgieva et al. [13]: Pembrolizumab vs. CTX; Giuliani and Bonetti [14]: Pembrolizumab vs. CTX, Nivolumab vs. CTX; Guirgis [32]: Pembrolizumab vs. CTX; Harding et al. [33], publication corresponding to TA 557 [41]: Pembrolizumab + CTX vs. CTX, Pembrolizumab + CTX vs. pembrolizumab; Harding et al. [34], publication corresponding to TA 600 [43]: Pembrolizumab + CTX vs. CTX; Hu and Goldman [36]: Pembrolizumab vs. CTX; Hu and Hay [15]: Pembrolizumab vs. CTX; Hu et al. [35]: Pembrolizumab + CTX vs. CTX; Huang et al. [17]: Pembrolizumab vs. CTX; Huang et al. [16], adaptation of Huang et al. [17]: Pembrolizumab vs. CTX; Insinga et al. [18]: Pembrolizumab + CTX vs. CTX, Pembrolizumab + CTX vs. pembrolizumab; Insinga et al. [19]: Pembrolizumab + CTX vs. CTX, Pembrolizumab + CTX vs. pembrolizumab; Kim et al. [37]: Pembrolizumab + CTX vs. CTX; Liao et al. [20]: Pembrolizumab vs. CTX; Loong et al. [21], adaptation of Huang et al. [17]: Pembrolizumab vs. CTX; Pinheiro et al. [38]: Pembrolizumab vs. CTX"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 43",What are the references for these studies?,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 43"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 43",What study designs are used in these studies?,"Kawalec et al, 201577: CEA + CUA; Ren et al, 2020102: CEA + CUA; Fujii et al, 201562: CEA, BIA; Stawowczyk et al, 2014120: CUA; Price et al, 2014101: CMA; Brüggenjürgen et al, 201043: CMA"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 43",Which countries are covered in these studies?,"Kawalec et al, 201577: Poland; Ren et al, 2020102: China; Fujii et al, 201562: Brazil; Stawowczyk et al, 2014120: Poland; Price et al, 2014101: Sweden; Brüggenjürgen et al, 201043: Germany"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 44",What populations are examined in these studies?,"Kawalec et al, 201577: Patients with arterial hypertension; Ren et al, 2020102: Hypertensive adults; Fujii et al, 201562: Systemic arterial hypertension; Stawowczyk et al, 2014120: Hypertensive patients; Price et al, 2014101: Moderate-to-severe COPD patients; Brüggenjürgen et al, 201043: Asthma"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 45",What interventions or stct brands are evaluated in these studies?,"Kawalec et al, 201577: Indapamide + amlodipine (Tertens-AM); Ren et al, 2020102: Olmesartan + amlodipine (Sevikar); Fujii et al, 201562: Bisoprolol + amlodipine (Concor AM); Stawowczyk et al, 2014120: Indapamide + amlodipine (Natrixam); Price et al, 2014101: Indacaterol + glycopyrronium (Utibron); Brüggenjürgen et al, 201043: Beclomethasone dipropionate + formoterol fumarate (CHF 1535)"
10948140_Table_3.,"Kawalec et al: 2015, 77; Ren et al: 2020, 102; Fujii et al: 2015, 62; Stawowczyk et al: 2014, 120; Price et al: 2014, 101; Br�rgen et al: 2010, 46",What are the main messages conveyed by these studies?,"Kawalec et al, 201577: STCT was less expensive than treatment with LDCs. STCT dominates LDCs, in both NHF and patient’s perspective for patients with higher adherence.; Ren et al, 2020102: STCT dominates LDCs.; Fujii et al, 201562: STCT dominates LDCs.; Stawowczyk et al, 2014120: Public payer perspective: STCT dominates LDCs. Patient’s perspective: Net monetary benefit was higher with STCT.; Price et al, 2014101: STCT dominates LDCs in all horizons, and in PSA iterations.; Brüggenjürgen et al, 201043: STCT dominates LDCs."
